encoder_layer,hidden_index,component,numel,base_l2,delta_l2,relative_l2,mean_abs_delta,max_abs_delta,cosine
6,7,output.dense.weight,2359296,61.89675677895603,0.21358383071973902,0.0034506465578234354,0.00010731136917433592,0.0012314021587371826,0.9999940472135205
7,8,attention.self.query.weight,589824,36.78439075380176,0.11472056008654377,0.0031187293777507276,0.00011837845238034073,0.000762593001127243,0.9999951398597724
7,8,attention.self.key.weight,589824,36.293762843408096,0.11158800921666918,0.003074578122365631,0.0001149570750390441,0.0008338913321495056,0.999995276507384
7,8,attention.self.value.weight,589824,29.540116854032608,0.1235175352430014,0.0041813489043845695,0.00012452453962988715,0.0009787948802113533,0.9999912588953983
7,8,attention.output.dense.weight,589824,27.48703303461253,0.10907130864192971,0.00396810046775815,0.0001108124578569086,0.0007552504539489746,0.9999921279874321
7,8,intermediate.dense.weight,2359296,61.743697592042054,0.26925658636451205,0.004360875633713516,0.00013635628682297942,0.0013328157365322113,0.9999904925937527
7,8,output.dense.weight,2359296,59.45491435415494,0.2161747133344247,0.003635943566359163,0.00010801406658285623,0.0011295359581708908,0.9999933903994436
8,9,attention.self.query.weight,589824,35.82284181899878,0.13543691293937313,0.003780741729639764,0.00013795816092893208,0.001032195519655943,0.9999928555426404
8,9,attention.self.key.weight,589824,35.47066302286292,0.13456381532572237,0.0037936650701732894,0.00013663120278408237,0.0010512247681617737,0.9999928060655646
8,9,attention.self.value.weight,589824,30.85603409969482,0.13092630154778898,0.004243134458717878,0.00013187023330237503,0.000997491180896759,0.9999909983968427
8,9,attention.output.dense.weight,589824,28.414064766124614,0.1303070746299915,0.004586006110091796,0.0001290566211827778,0.0011264756321907043,0.9999894847682813
8,9,intermediate.dense.weight,2359296,62.19591734878687,0.2721615858687541,0.004375875418679111,0.0001367434747712217,0.0012840460985898972,0.999990427138318
8,9,output.dense.weight,2359296,59.452979920356825,0.2104919035944646,0.003540476926075689,0.0001027838264342508,0.00137099894345738,0.9999937333317356
9,10,attention.self.query.weight,589824,35.196586988325485,0.14883736860111077,0.004228744356675245,0.00014209304286791891,0.001350589096546173,0.9999910599926483
9,10,attention.self.key.weight,589824,35.02488830264758,0.1582689451922776,0.004518756600297675,0.00014789641910438621,0.0014884620904922485,0.9999897912004901
9,10,attention.self.value.weight,589824,29.998731689325076,0.14128355558020517,0.004709650962693211,0.00014192072550592755,0.0013407804071903229,0.9999889097299562
9,10,attention.output.dense.weight,589824,27.341972425310697,0.13515797767013718,0.004943241678680807,0.00012772116657945698,0.0014783773222006857,0.9999877824628146
9,10,intermediate.dense.weight,2359296,62.822543993438835,0.26382210295637115,0.00419948136745186,0.0001315498304369789,0.0013202019035816193,0.9999911835695339
9,10,output.dense.weight,2359296,61.48661292172809,0.1927938345811115,0.003135541631257788,9.34045032730557e-05,0.0012430697679519653,0.999995085041396
10,11,attention.self.query.weight,589824,34.838527791851426,0.16087807786789365,0.004617820788211444,0.00015405971461464118,0.0013959016650915146,0.9999893378217275
10,11,attention.self.key.weight,589824,34.60118376125269,0.1564218774006734,0.004520708842795104,0.0001513950446348325,0.0014639506116509438,0.9999897815500731
10,11,attention.self.value.weight,589824,30.201046593150775,0.13858791765453066,0.004588844867580208,0.00013941831778836568,0.001038532704114914,0.9999894712486819
10,11,attention.output.dense.weight,589824,27.81680292276455,0.13452176564386167,0.004835989456350232,0.00013137299710667163,0.0011793002486228943,0.9999883066789845
10,11,intermediate.dense.weight,2359296,58.93846267912955,0.2669264494526809,0.004528900777508761,0.00013270886972968274,0.0014047585427761078,0.9999897454642424
10,11,output.dense.weight,2359296,58.79310031630322,0.17966755889631195,0.0030559293170408035,8.702281756980875e-05,0.0011391229927539825,0.9999953314327149
11,12,attention.self.query.weight,589824,34.29045017002828,0.11596402129725505,0.0033818168242834537,0.00011555352924074496,0.0007587093859910965,0.9999942822880414
11,12,attention.self.key.weight,589824,34.06106111162651,0.13079409056704136,0.0038399887231462585,0.00013404105662326315,0.0007556788623332977,0.9999926273521642
11,12,attention.self.value.weight,589824,32.57443896414499,0.13052695334332026,0.004007036114635545,0.00013069056310257185,0.0010305419564247131,0.9999919724245437
11,12,attention.output.dense.weight,589824,30.450094119336686,0.13627807626039962,0.004475456651342799,0.00013647110122783898,0.0010264851152896881,0.9999899855914185
11,12,intermediate.dense.weight,2359296,53.38137063551641,0.2572734623257557,0.0048195364649288915,0.00013062369649520327,0.001050792634487152,0.999988386218742
11,12,output.dense.weight,2359296,50.92531585118189,0.17544359486155386,0.0034451154976485455,8.820880560112051e-05,0.0010282369330525398,0.9999940664360031
